lote_id,status_raw,turno,tem_obs,classe
ML-0001,AJUSTE DE LINHA,A,True,valido_automatico
ML-0002,EM ANALISE,B,True,valido_automatico
ML-0003,EM ANALISE,C,True,valido_automatico
ML-0004,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0005,AJUSTE DE LINHA,B,False,recusar_automatico
ML-0006,ESPECIFICACAO EM REVISAO,B,False,recusar_automatico
ML-0007,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0008,EM ANALISE,C,True,valido_automatico
ML-0009,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0010,AJUSTE DE LINHA,C,False,recusar_automatico
ML-0011,AJUSTE DE LINHA,C,True,revisar
ML-0012,PENDENTE,B,True,valido_automatico
ML-0013,ESPECIFICACAO EM REVISAO,C,False,recusar_automatico
ML-0014,AJUSTE DE LINHA,A,False,revisar
ML-0015,PENDENTE,B,True,valido_automatico
ML-0016,AJUSTE DE LINHA,B,True,valido_automatico
ML-0017,EM ANALISE,C,True,valido_automatico
ML-0018,AJUSTE DE LINHA,A,False,revisar
ML-0019,ESPECIFICACAO EM REVISAO,B,False,recusar_automatico
ML-0020,ESPECIFICACAO EM REVISAO,C,True,revisar
ML-0021,PENDENTE,C,False,recusar_automatico
ML-0022,PENDENTE,B,True,valido_automatico
ML-0023,AJUSTE DE LINHA,C,True,revisar
ML-0024,ESPECIFICACAO EM REVISAO,C,False,recusar_automatico
ML-0025,AJUSTE DE LINHA,A,False,revisar
ML-0026,PENDENTE,B,True,valido_automatico
ML-0027,ESPECIFICACAO EM REVISAO,C,True,revisar
ML-0028,AJUSTE DE LINHA,A,False,revisar
ML-0029,PENDENTE,C,False,recusar_automatico
ML-0030,EM ANALISE,B,True,valido_automatico
ML-0031,EM ANALISE,C,True,valido_automatico
ML-0032,ESPECIFICACAO EM REVISAO,C,True,revisar
ML-0033,PENDENTE,C,True,revisar
ML-0034,PENDENTE,A,False,revisar
ML-0035,EM ANALISE,A,False,revisar
ML-0036,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0037,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0038,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0039,EM ANALISE,C,True,valido_automatico
ML-0040,ESPECIFICACAO EM REVISAO,B,True,revisar
ML-0041,AJUSTE DE LINHA,A,False,revisar
ML-0042,PENDENTE,C,False,recusar_automatico
ML-0043,ESPECIFICACAO EM REVISAO,C,False,recusar_automatico
ML-0044,PENDENTE,C,False,recusar_automatico
ML-0045,AJUSTE DE LINHA,B,False,recusar_automatico
ML-0046,PENDENTE,C,False,recusar_automatico
ML-0047,EM ANALISE,C,True,valido_automatico
ML-0048,ESPECIFICACAO EM REVISAO,A,False,recusar_automatico
ML-0049,ESPECIFICACAO EM REVISAO,C,False,recusar_automatico
ML-0050,AJUSTE DE LINHA,B,False,recusar_automatico
ML-0051,ESPECIFICACAO EM REVISAO,B,True,revisar
ML-0052,EM ANALISE,B,False,revisar
ML-0053,AJUSTE DE LINHA,B,True,valido_automatico
ML-0054,PENDENTE,A,True,valido_automatico
ML-0055,PENDENTE,C,False,recusar_automatico
ML-0056,ESPECIFICACAO EM REVISAO,B,True,revisar
ML-0057,PENDENTE,C,True,revisar
ML-0058,AJUSTE DE LINHA,B,False,recusar_automatico
ML-0059,PENDENTE,C,True,revisar
